,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
valparaiso,41.47,306.57,63,20,5.7
coquimbo,-29.95,289.15,63,0,5.1
kavaratti,10.57,299.846,82,100,10.52
hermanus,-34.42,282.15,98,58,8.29
kiruna,67.86,290.15,59,0,2.6
tual,-5.67,298.246,85,0,8.3
lebu,8.96,285.446,95,99,0.77
tiksi,71.64,279.846,67,95,2.32
maragogi,-9.01,295.246,92,62,3.56
avarua,-21.21,295.15,94,17,1.0
esperance,-33.86,283.15,100,90,9.8
qaqortoq,60.72,290.15,55,75,3.6
talnakh,69.49,288.15,54,0,4.0
snasa,64.25,291.15,63,0,0.5
half moon bay,37.46,295.18,82,75,8.7
iqaluit,63.75,283.92,76,75,4.6
arlit,18.74,309.246,18,32,6.62
yerbogachen,61.28,282.946,66,61,4.43
mahibadhoo,3.78,301.746,77,100,8.39
hobart,-42.88,277.79,81,40,6.2
porta westfalica,52.24,292.76,64,59,1.5
winslow,51.94,290.84,100,90,3.6
arraial do cabo,-22.97,294.64,64,40,7.2
ambon,47.55,292.76,82,90,3.1
mataura,-46.19,280.37,97,100,1.34
osypenko,48.04,292.15,59,0,2.0
sabang,13.8,296.346,95,100,0.25
saint-philippe,45.36,304.58,66,75,7.7
cockburn town,21.46,301.346,79,0,8.82
bowen,-20.01,282.22,93,0,2.1
atuona,-9.8,299.846,71,100,4.74
ancud,-41.87,281.15,70,40,4.1
kuusamo,65.96,287.15,87,0,1.5
milos,36.75,298.046,66,0,5.05
qasigiannguit,68.82,282.15,81,75,3.1
katsuura,33.93,297.43,100,75,5.7
kihei,20.76,299.88,100,90,4.1
eston,51.15,287.82,93,90,8.2
saint-augustin,45.63,304.44,66,75,4.6
usinsk,66.0,284.446,95,88,3.77
vila franca do campo,37.72,296.15,88,40,6.2
tateyama,36.66,297.15,73,100,0.89
athabasca,54.72,293.546,52,96,3.73
cap malheureux,-19.98,293.97,78,40,8.2
castro,-42.48,281.15,70,40,4.1
tilichiki,60.47,284.946,99,100,1.89
deputatskiy,69.3,275.846,84,100,2.63
lorengau,-2.02,300.246,81,0,4.11
sitka,37.17,312.04,30,0,8.05
namibe,-15.19,293.846,87,98,1.54
kurilsk,45.23,286.746,91,11,4.42
paita,-5.09,290.15,290,0,5.7
nelson bay,-32.72,278.93,93,0,5.09
belmonte,40.36,291.046,63,0,2.25
governador valadares,-18.85,292.446,66,80,1.59
ixtapa,20.71,304.49,58,75,3.6
watsa,3.04,291.846,96,0,0.41
kutum,14.2,301.246,42,32,1.5
geraldton,49.72,300.15,44,40,6.2
guerrero negro,27.97,291.146,90,0,8.17
doha,25.29,306.17,75,0,2.6
tuatapere,-46.13,280.37,97,100,1.34
codrington,-28.95,281.13,93,0,3.6
san carlos de bariloche,-41.13,274.15,77,75,7.2
pandan,11.72,301.546,77,95,4.58
carnarvon,-30.97,277.746,81,99,7.49
airai,-8.93,292.346,87,0,2.38
mount gambier,-37.83,282.15,76,62,6.7
ostrovnoy,68.05,277.746,98,51,2.85
severobaykalsk,55.65,284.746,86,79,0.85
ribeira grande,38.52,297.15,83,40,5.7
faranah,10.04,295.146,93,62,3.04
morro agudo,-20.73,299.15,31,0,4.1
kingman,35.19,311.05,6,1,9.3
karpogory,64.0,283.346,86,33,1.97
bluff,-23.58,283.046,72,0,3.8
barrow,-38.31,283.646,50,100,6.36
matara,-3.48,284.246,87,39,0.96
pevek,69.7,273.446,98,100,3.25
nizwa,22.93,301.246,48,0,0.25
neuquen,-38.95,284.546,47,100,8.46
bayangol,48.91,288.446,89,84,1.46
puerto escondido,15.86,305.246,52,41,3.73
yellowknife,62.45,292.09,45,75,4.1
polis,35.04,296.82,83,20,3.6
bambous virieux,-20.34,293.75,78,40,8.2
shubarkuduk,49.15,297.446,65,0,9.51
kampot,10.62,299.15,94,40,1.5
guane,22.2,302.646,73,0,5.06
tasiilaq,65.61,281.15,75,100,4.1
adrar,27.87,318.15,12,65,8.2
kaitangata,-46.28,281.48,87,100,1.79
bumba,2.18,296.246,85,81,0.86
dikson,73.51,276.346,86,0,10.05
halifax,44.65,297.18,41,75,5.7
santa cruz de la palma,28.68,294.03,69,20,9.3
yeniseysk,58.45,283.346,87,0,1.46
shellbrook,53.22,289.15,93,90,2.6
natal,-5.81,299.15,83,75,3.6
sao felix do xingu,-6.64,301.146,48,0,1.94
harper,30.3,306.43,46,40,6.7
puerto madero,-34.61,291.4,77,40,1.5
vostok,46.45,291.246,95,0,1.05
susangerd,31.56,309.15,20,0,4.1
tautira,-17.73,298.89,65,20,2.1
ivankiv,50.93,293.15,52,0,2.0
hajnowka,52.74,290.25,67,98,2.66
zhangye,38.94,292.646,36,0,3.32
namatanai,-3.66,299.846,82,63,6.9
kruisfontein,-34.0,282.546,70,76,12.38
fortuna,40.6,293.06,68,20,6.7
anadyr,64.73,288.93,77,75,4.0
umm lajj,25.02,303.546,74,0,5.82
huilong,31.15,297.046,93,58,0.96
prieska,-29.67,279.646,81,24,6.53
pawai,24.27,304.046,52,0,1.2
east london,-33.02,286.15,58,0,10.3
xiongzhou,32.34,299.25,94,75,1.0
west bay,49.34,291.88,68,20,5.1
haifa,32.82,298.12,81,0,0.45
astana,51.13,295.15,56,0,1.0
ahipara,-35.17,287.646,74,2,8.44
fairbanks,64.84,291.04,55,75,5.1
katherine,-14.47,285.15,71,0,3.1
vao,59.1,286.646,94,19,1.4
victoria,5.28,300.24,88,75,1.0
naze,5.43,295.546,97,100,1.37
kargat,55.19,287.046,94,0,2.62
manokwari,-0.87,296.146,70,0,1.87
havre,48.55,295.3,18,20,8.2
souillac,45.6,298.82,45,0,3.98
torbay,47.66,293.2,43,40,12.3
viedma,-40.81,286.246,26,100,7.71
alice springs,-23.7,284.15,34,3,1.5
kalevala,64.12,284.846,97,100,1.97
byron bay,-28.65,280.21,100,40,2.1
beloha,-25.17,290.446,85,0,1.93
labuhan,-2.54,295.246,91,0,0.52
kavieng,-2.57,301.646,76,7,4.69
tezu,27.93,297.346,76,95,1.19
havre-saint-pierre,50.23,298.15,36,1,3.6
petropavlovsk-kamchatskiy,53.05,289.15,87,20,2.0
ulaanbaatar,47.92,285.15,87,20,3.0
macau,-5.11,300.846,64,95,6.99
moose factory,51.26,295.15,83,75,4.6
kahului,20.89,299.77,58,40,9.3
ibiruba,-28.63,288.946,86,100,3.56
mungeli,22.07,302.146,72,90,3.89
lindi,-10.0,295.15,83,20,4.1
vila velha,-3.71,301.7,62,20,7.2
temerloh,3.45,295.446,94,100,0.49
upernavik,72.79,279.946,92,100,5.34
guiratinga,-16.35,301.846,33,0,1.85
gorontalo,0.54,295.646,94,58,1.13
rawson,-43.3,281.846,33,100,13.64
hirara,24.8,300.846,88,100,5.13
santo antonio do sudoeste,-26.07,289.046,77,100,2.09
bolshaya glushitsa,50.24,290.66,80,0,2.1
husavik,50.56,298.35,32,0,3.58
udachnyy,66.42,282.15,66,40,3.0
manta,45.1,289.346,84,99,3.1
salisbury,51.07,290.55,93,90,4.6
sambava,-14.27,291.146,91,0,1.76
praia,-20.25,292.61,49,40,5.7
kargil,34.56,283.246,66,0,2.58
kayerkan,69.35,288.15,54,0,4.0
los alamos,35.88,304.62,13,34,3.1
camacupa,-12.02,285.546,30,0,0.94
constitucion,23.99,298.14,38,40,2.1
lichinga,-13.3,292.246,58,64,2.41
ponta do sol,-20.63,288.046,61,9,2.59
ifakara,-8.13,292.046,65,59,1.45
pittsburg,38.02,296.31,47,1,3.6
koutsouras,35.03,298.71,51,0,3.13
srednekolymsk,67.46,282.546,55,68,3.58
nazarovo,56.01,289.246,97,71,2.85
alvaraes,-3.22,300.15,83,40,2.1
sabzevar,36.21,299.846,17,0,3.68
tessalit,20.2,311.946,9,96,3.43
oranjestad,12.52,304.15,70,75,9.8
mahebourg,-20.41,293.7,78,40,8.2
kununurra,-15.77,286.15,76,0,1.62
olinda,-37.84,282.0,87,91,5.1
sorong,-0.86,296.846,95,77,2.99
dunedin,-45.87,282.04,95,100,5.88
apam,5.28,296.246,96,100,2.05
tolaga bay,-38.37,282.946,96,100,1.96
karari,15.79,299.15,78,14,5.1
mansa,23.43,305.15,55,11,3.6
moindou,-21.69,289.15,87,75,7.93
hvide sande,56.01,289.32,82,72,1.0
lakes entrance,-37.88,275.93,94,28,3.84
puerto asis,0.51,297.15,88,75,3.1
kitzbuhel,47.45,295.15,64,40,1.5
taltal,-25.41,290.546,52,0,1.39
veshenskaya,49.63,290.046,65,4,2.77
peniche,39.36,291.56,64,20,6.7
princeton,38.36,306.08,66,75,5.1
sao paulo de olivenca,-3.38,300.346,84,92,1.07
tromso,69.65,293.11,48,0,1.5
lusambo,-4.97,294.346,34,0,0.71
paka,4.15,293.246,98,100,0.71
padang,-0.92,300.446,80,100,3.59
togur,58.36,290.446,96,20,3.31
myaundzha,63.05,278.246,84,97,2.67
coahuayana,18.62,303.846,64,36,0.94
liuli,-11.1,296.546,66,0,4.34
navolato,24.76,308.23,44,40,2.1
oswego,37.17,307.52,63,1,5.7
kouroussa,10.65,296.246,92,64,0.64
kampene,-3.59,296.946,53,67,0.34
te anau,-45.41,279.146,88,100,2.94
road town,18.42,300.77,83,20,5.1
san patricio,-26.98,292.046,91,45,2.07
saint-georges,46.12,301.11,70,1,2.68
ulladulla,-35.36,275.83,75,7,6.2
san cristobal,14.68,302.046,45,76,5.11
hualmay,-11.1,289.846,83,0,4.88
verkhnevilyuysk,63.45,282.446,71,0,1.93
kondinskoye,59.65,290.546,63,0,2.48
arjawinangun,-6.65,296.646,72,89,2.57
limbang,4.75,300.33,94,75,0.5
sao joao da barra,-21.64,295.67,64,75,5.1
najran,17.54,304.15,14,20,2.1
porto novo,-23.68,294.15,46,0,2.1
chokurdakh,70.62,276.446,82,100,2.79
carutapera,-1.2,298.846,82,57,3.02
kushima,31.5,298.71,88,100,5.81
cabo san lucas,22.89,303.19,62,40,6.7
longyearbyen,78.22,281.15,75,75,2.1
college,64.86,291.26,55,75,5.1
harlingen,53.18,292.4,77,75,1.0
chalus,36.66,299.15,83,40,7.68
akhmim,26.56,309.15,23,0,7.2
sandwick,54.57,290.08,100,94,4.6
giddalur,15.38,299.846,77,100,2.6
tarko-sale,64.92,293.15,79,59,4.07
tsiroanomandidy,-18.77,290.946,52,77,0.42
chiredzi,-21.05,290.146,20,0,2.63
kimbe,-5.56,297.046,85,0,1.09
severo-kurilsk,50.68,281.646,99,100,1.31
teruel,40.34,298.0,39,4,6.2
clemencia,10.57,304.72,74,40,5.7
luderitz,-26.65,287.646,80,0,12.49
saint george,39.45,296.61,60,75,2.1
sisimiut,66.94,278.546,91,100,5.44
san juan,-31.54,288.246,20,100,0.7
hovd,63.83,287.37,82,0,7.7
curitibanos,-27.29,288.15,99,95,1.34
gunnedah,-30.98,273.15,88,0,1.5
suoyarvi,62.08,285.746,95,100,3.77
chico,39.73,301.57,39,20,3.47
novyy svit,47.81,294.446,52,0,3.04
makubetsu,42.84,289.746,99,100,0.97
biu,10.61,295.746,88,100,1.71
daru,-9.07,295.946,85,95,3.82
starogard gdanski,53.96,291.35,77,0,2.1
lagoa,37.14,297.56,73,0,4.6
eyl,7.98,298.546,61,33,11.87
monrovia,6.33,299.15,88,75,6.7
dakar,14.69,299.15,65,40,4.6
lockport,50.09,299.06,44,20,8.7
san agustin,10.2,296.046,78,2,2.68
ust-uda,54.17,286.546,88,81,0.7
skjervoy,70.03,290.94,63,0,2.1
gushikawa,26.35,301.56,83,75,10.8
gallup,35.53,304.61,13,1,4.6
bonavista,48.65,285.93,80,24,2.24
colares,38.8,292.99,77,20,12.3
konstantinovka,46.85,292.246,66,0,2.1
rypefjord,70.63,290.02,59,0,5.7
canala,-21.52,289.15,87,75,0.81
erenhot,43.65,294.546,57,0,3.42
atar,20.52,309.046,15,0,3.48
machinga,-15.18,290.146,62,5,1.01
simdega,22.61,299.046,90,0,2.01
ternate,14.29,300.47,78,40,0.5
luau,-10.7,288.646,35,15,1.21
nemuro,43.32,287.646,97,100,5.57
skegness,53.14,291.12,93,75,7.2
svetlogorsk,53.14,296.15,53,75,1.0
jardim,-21.48,292.046,79,81,2.91
batemans bay,-35.71,272.41,93,0,1.21
klaksvik,62.23,284.15,93,90,4.1
hannibal,39.71,307.04,70,1,4.6
pingliang,35.54,286.846,69,91,2.41
luanda,-8.83,294.15,88,0,1.0
sur,22.57,297.946,84,1,5.1
rodrigues alves,-7.74,305.15,55,20,2.6
caiaponia,-16.96,298.946,37,70,1.17
lompoc,34.64,292.01,77,90,3.1
khash,28.22,293.746,19,0,1.37
yar-sale,66.83,292.746,76,97,3.23
riyadh,24.63,311.15,13,39,7.7
new norfolk,-42.78,277.9,81,40,6.2
maltahohe,-24.83,279.246,36,0,1.87
zhangjiakou,40.77,290.046,88,85,1.4
lasa,34.92,297.24,83,20,3.6
yinchuan,38.48,295.93,43,0,1.34
karasuk,53.73,289.846,97,62,3.42
noumea,-22.28,289.15,87,75,7.29
saint-nazaire,47.27,292.86,77,0,5.1
cabra,37.47,307.4,18,3,3.1
cabedelo,-6.97,297.15,94,75,5.7
grand-santi,4.27,298.446,95,99,1.61
teya,21.05,307.88,49,40,5.7
mehamn,71.03,287.36,82,40,3.1
mao,19.55,305.48,52,40,7.2
walvis bay,-22.95,289.85,56,0,1.5
pangnirtung,66.15,282.15,100,90,1.5
junction city,39.03,309.6,42,1,6.7
baijiantan,45.63,296.446,31,44,2.02
taybad,34.74,301.146,14,0,7.11
zambezi,-13.55,289.246,35,0,2.04
georgetown,6.8,301.15,83,75,5.1
brae,60.4,287.15,87,29,5.7
soe,57.91,289.93,77,0,2.6
rocha,-34.48,286.646,91,0,2.06
shenjiamen,29.96,298.846,92,57,5.72
ulagan,50.63,279.446,95,95,0.76
hobyo,5.35,298.546,61,73,11.23
henties bay,-22.12,287.59,85,0,0.45
north platte,41.12,308.04,41,1,2.1
wanning,48.64,292.75,53,20,1.5
carlos chagas,-17.7,291.146,76,43,2.85
wilmington,39.75,306.61,55,40,3.6
lavrentiya,65.58,286.246,74,100,3.46
viisoara,46.55,291.05,68,0,1.69
berea,37.57,306.11,55,40,3.6
nouadhibou,20.93,295.15,64,0,11.3
catalina foothills,32.3,310.53,23,1,3.6
bitlis,38.4,295.15,46,20,0.79
miyako,33.63,298.67,78,100,1.0
hambantota,6.12,301.15,78,40,6.2
strezhevoy,60.73,291.15,93,0,0.42
aleksandrov gay,50.14,294.746,53,5,2.27
bulungu,-4.54,297.646,27,0,0.81
ust-nera,64.57,275.646,87,100,3.72
jiayuguan,39.77,296.046,24,1,2.5
yarada,17.65,300.15,94,75,1.0
broome,52.47,290.95,93,75,4.1
nanortalik,60.14,280.046,92,99,1.76
grindavik,63.84,287.91,76,20,6.2
saint-pierre,48.95,296.97,41,0,1.5
honiara,-9.43,296.15,100,20,2.39
nichinan,31.65,298.71,88,100,5.81
chalmette,29.94,305.36,78,75,4.6
damietta,31.42,300.15,74,20,6.2
nsunga,-1.13,292.746,64,0,0.44
salmas,38.2,293.15,42,0,3.1
yuli,24.82,295.346,98,100,0.66
sorland,67.67,292.15,52,0,2.6
mazagao,-0.12,306.15,55,40,4.1
sal rei,16.18,298.73,78,75,7.2
ketchikan,55.34,288.67,82,90,5.1
makakilo city,21.35,300.38,83,90,3.1
bilma,18.69,307.646,23,0,6.01
jacqueville,5.21,298.15,94,20,2.6
okhotsk,59.36,285.246,89,86,2.38
teguise,29.06,297.15,69,75,9.3
vestmanna,62.16,284.15,93,90,4.1
tiarei,-17.53,298.9,65,20,2.1
puerto penasco,31.32,305.37,58,0,3.58
oranjemund,-28.55,286.246,85,0,8.79
eureka,40.8,292.3,68,20,6.7
caceres,5.53,302.146,46,0,2.12
port hedland,-20.31,290.15,100,42,2.1
aykhal,65.95,282.15,66,40,3.0
mattru,7.62,296.646,94,100,2.47
sinnamary,5.38,300.546,79,18,5.4
zhezkazgan,47.8,297.446,35,0,3.26
ruidoso,33.33,302.57,40,40,6.2
mizan teferi,6.99,289.946,97,100,1.07
erdenet,49.03,286.646,82,65,1.03
verkhovyna,48.15,284.946,92,4,2.48
touros,-5.2,299.15,83,75,3.6
moba,-7.04,290.246,55,36,1.52
la romana,18.43,304.15,70,40,6.2
vardo,39.62,307.72,44,75,4.1
kasongo,-4.43,299.446,32,0,1.54
monywa,22.12,302.346,69,100,4.45
uruacu,-14.52,300.046,35,23,2.78
quelimane,-17.88,295.15,88,0,2.1
chulman,56.84,280.046,76,25,1.72
progreso,-34.68,291.25,60,20,4.1
ahmadpur east,29.14,309.846,35,0,3.68
matadi,-5.83,293.746,93,0,1.71
ermelo,52.3,292.88,64,90,1.5
elat,2.91,292.946,98,100,1.2
marrakesh,31.63,303.15,40,0,5.1
lerwick,60.15,287.15,87,20,5.7
chateauroux,43.72,300.77,37,0,2.6
gat,14.69,299.15,65,40,4.6
north bend,43.41,293.57,59,1,9.3
nauen,52.61,293.59,64,0,2.6
pucara,-21.7,296.67,31,0,2.1
guiren,22.97,298.64,100,75,2.6
nagydorog,46.62,292.846,68,43,2.86
storm lake,42.64,306.46,66,1,7.7
caconda,-13.73,285.946,28,8,2.03
smolenskoye,52.31,288.146,93,98,1.46
voyinka,45.87,295.946,64,0,6.16
dingle,11.0,296.046,81,67,0.96
sidney,47.72,296.2,36,20,5.1
sao filipe,14.9,297.446,84,27,6.39
corralillo,22.98,303.546,66,94,5.84
port-gentil,-0.72,298.15,94,75,4.6
soure,40.06,291.24,88,75,6.7
farmington,36.73,305.41,12,1,5.1
biak,-0.91,291.146,98,100,1.73
kulhudhuffushi,6.62,301.646,78,100,9.66
grand gaube,-20.01,294.01,78,40,8.2
seoul,37.57,299.97,74,75,1.5
utiel,39.57,298.49,74,20,4.1
margate,-43.03,277.91,81,40,6.2
chandur bazar,21.24,296.546,90,100,1.33
mount isa,-20.73,276.15,59,0,4.87
bilibino,68.06,278.746,61,100,1.92
chara,39.42,296.63,60,75,2.1
tigre,-34.42,292.32,68,40,3.6
trelew,-43.25,281.846,33,100,13.64
hay river,60.82,290.15,63,20,3.1
maturin,9.75,300.046,70,2,3.34
roald,62.58,286.85,87,75,4.1
la asuncion,-26.05,287.646,64,0,1.73
hamilton,43.26,299.77,94,90,2.6
dukat,40.25,294.25,52,71,3.13
